CREATE TABLE livros_alugados (
	usuario_id int NOT NULL,
	livro_id int NOT NULL,
	PRIMARY KEY (usuario_id, livro_id),
	FOREIGN Key (usuario_id) REFERENCES usuarios(id),
	FOREIGN Key (livro_id) REFERENCES livros(id)
);

insert into livros_alugados (usuario_id, livro_id) values (61, 72);
insert into livros_alugados (usuario_id, livro_id) values (91, 46);
insert into livros_alugados (usuario_id, livro_id) values (32, 76);
insert into livros_alugados (usuario_id, livro_id) values (8, 61);
insert into livros_alugados (usuario_id, livro_id) values (61, 77);
insert into livros_alugados (usuario_id, livro_id) values (58, 28);
insert into livros_alugados (usuario_id, livro_id) values (61, 38);
insert into livros_alugados (usuario_id, livro_id) values (87, 15);
insert into livros_alugados (usuario_id, livro_id) values (8, 31);
insert into livros_alugados (usuario_id, livro_id) values (60, 13);
insert into livros_alugados (usuario_id, livro_id) values (12, 36);
insert into livros_alugados (usuario_id, livro_id) values (67, 77);
insert into livros_alugados (usuario_id, livro_id) values (60, 83);
insert into livros_alugados (usuario_id, livro_id) values (87, 33);
insert into livros_alugados (usuario_id, livro_id) values (19, 27);
insert into livros_alugados (usuario_id, livro_id) values (36, 13);
insert into livros_alugados (usuario_id, livro_id) values (86, 17);
insert into livros_alugados (usuario_id, livro_id) values (77, 48);
insert into livros_alugados (usuario_id, livro_id) values (88, 87);
insert into livros_alugados (usuario_id, livro_id) values (94, 64);
insert into livros_alugados (usuario_id, livro_id) values (60, 75);
insert into livros_alugados (usuario_id, livro_id) values (65, 73);
insert into livros_alugados (usuario_id, livro_id) values (84, 86);
insert into livros_alugados (usuario_id, livro_id) values (48, 48);
insert into livros_alugados (usuario_id, livro_id) values (86, 85);
insert into livros_alugados (usuario_id, livro_id) values (31, 22);
insert into livros_alugados (usuario_id, livro_id) values (32, 38);
insert into livros_alugados (usuario_id, livro_id) values (91, 59);
insert into livros_alugados (usuario_id, livro_id) values (65, 2);
insert into livros_alugados (usuario_id, livro_id) values (9, 59);
insert into livros_alugados (usuario_id, livro_id) values (94, 64);
insert into livros_alugados (usuario_id, livro_id) values (78, 30);
insert into livros_alugados (usuario_id, livro_id) values (97, 68);
insert into livros_alugados (usuario_id, livro_id) values (43, 94);
insert into livros_alugados (usuario_id, livro_id) values (30, 78);
insert into livros_alugados (usuario_id, livro_id) values (75, 83);
insert into livros_alugados (usuario_id, livro_id) values (64, 54);
insert into livros_alugados (usuario_id, livro_id) values (32, 7);
insert into livros_alugados (usuario_id, livro_id) values (78, 76);
insert into livros_alugados (usuario_id, livro_id) values (17, 58);
insert into livros_alugados (usuario_id, livro_id) values (61, 31);
insert into livros_alugados (usuario_id, livro_id) values (54, 56);
insert into livros_alugados (usuario_id, livro_id) values (66, 31);
insert into livros_alugados (usuario_id, livro_id) values (62, 32);
insert into livros_alugados (usuario_id, livro_id) values (34, 92);
insert into livros_alugados (usuario_id, livro_id) values (64, 39);
insert into livros_alugados (usuario_id, livro_id) values (14, 17);
insert into livros_alugados (usuario_id, livro_id) values (82, 34);
insert into livros_alugados (usuario_id, livro_id) values (3, 76);
insert into livros_alugados (usuario_id, livro_id) values (81, 93);
insert into livros_alugados (usuario_id, livro_id) values (68, 13);
insert into livros_alugados (usuario_id, livro_id) values (62, 72);
insert into livros_alugados (usuario_id, livro_id) values (41, 93);
insert into livros_alugados (usuario_id, livro_id) values (77, 93);
insert into livros_alugados (usuario_id, livro_id) values (80, 84);
insert into livros_alugados (usuario_id, livro_id) values (9, 5);
insert into livros_alugados (usuario_id, livro_id) values (45, 79);
insert into livros_alugados (usuario_id, livro_id) values (53, 25);
insert into livros_alugados (usuario_id, livro_id) values (61, 46);
insert into livros_alugados (usuario_id, livro_id) values (87, 96);
insert into livros_alugados (usuario_id, livro_id) values (28, 51);
insert into livros_alugados (usuario_id, livro_id) values (34, 79);
insert into livros_alugados (usuario_id, livro_id) values (11, 94);
insert into livros_alugados (usuario_id, livro_id) values (93, 19);
insert into livros_alugados (usuario_id, livro_id) values (14, 64);
insert into livros_alugados (usuario_id, livro_id) values (57, 90);
insert into livros_alugados (usuario_id, livro_id) values (47, 63);
insert into livros_alugados (usuario_id, livro_id) values (18, 30);
insert into livros_alugados (usuario_id, livro_id) values (62, 74);
insert into livros_alugados (usuario_id, livro_id) values (4, 62);
insert into livros_alugados (usuario_id, livro_id) values (1, 46);
insert into livros_alugados (usuario_id, livro_id) values (70, 59);
insert into livros_alugados (usuario_id, livro_id) values (69, 53);
insert into livros_alugados (usuario_id, livro_id) values (11, 74);
insert into livros_alugados (usuario_id, livro_id) values (23, 30);
insert into livros_alugados (usuario_id, livro_id) values (69, 71);
insert into livros_alugados (usuario_id, livro_id) values (90, 20);
insert into livros_alugados (usuario_id, livro_id) values (100, 57);
insert into livros_alugados (usuario_id, livro_id) values (47, 30);
insert into livros_alugados (usuario_id, livro_id) values (85, 61);
insert into livros_alugados (usuario_id, livro_id) values (50, 5);
insert into livros_alugados (usuario_id, livro_id) values (60, 54);
insert into livros_alugados (usuario_id, livro_id) values (89, 53);
insert into livros_alugados (usuario_id, livro_id) values (33, 91);
insert into livros_alugados (usuario_id, livro_id) values (77, 31);
insert into livros_alugados (usuario_id, livro_id) values (99, 9);
insert into livros_alugados (usuario_id, livro_id) values (31, 8);
insert into livros_alugados (usuario_id, livro_id) values (60, 82);
insert into livros_alugados (usuario_id, livro_id) values (66, 28);
insert into livros_alugados (usuario_id, livro_id) values (57, 12);
insert into livros_alugados (usuario_id, livro_id) values (87, 60);
insert into livros_alugados (usuario_id, livro_id) values (2, 77);
insert into livros_alugados (usuario_id, livro_id) values (84, 91);
insert into livros_alugados (usuario_id, livro_id) values (88, 57);
insert into livros_alugados (usuario_id, livro_id) values (30, 93);
insert into livros_alugados (usuario_id, livro_id) values (32, 23);
insert into livros_alugados (usuario_id, livro_id) values (19, 14);
insert into livros_alugados (usuario_id, livro_id) values (13, 41);
insert into livros_alugados (usuario_id, livro_id) values (94, 14);
insert into livros_alugados (usuario_id, livro_id) values (25, 34);
insert into livros_alugados (usuario_id, livro_id) values (61, 56);
insert into livros_alugados (usuario_id, livro_id) values (48, 36);
insert into livros_alugados (usuario_id, livro_id) values (40, 31);
insert into livros_alugados (usuario_id, livro_id) values (38, 29);
insert into livros_alugados (usuario_id, livro_id) values (54, 73);
insert into livros_alugados (usuario_id, livro_id) values (40, 14);
insert into livros_alugados (usuario_id, livro_id) values (76, 95);
insert into livros_alugados (usuario_id, livro_id) values (65, 64);
insert into livros_alugados (usuario_id, livro_id) values (36, 40);
insert into livros_alugados (usuario_id, livro_id) values (13, 24);
insert into livros_alugados (usuario_id, livro_id) values (75, 84);
insert into livros_alugados (usuario_id, livro_id) values (63, 24);
insert into livros_alugados (usuario_id, livro_id) values (54, 6);
insert into livros_alugados (usuario_id, livro_id) values (67, 48);
insert into livros_alugados (usuario_id, livro_id) values (41, 37);
insert into livros_alugados (usuario_id, livro_id) values (98, 55);
insert into livros_alugados (usuario_id, livro_id) values (81, 36);
insert into livros_alugados (usuario_id, livro_id) values (7, 90);
insert into livros_alugados (usuario_id, livro_id) values (45, 72);
insert into livros_alugados (usuario_id, livro_id) values (9, 79);
insert into livros_alugados (usuario_id, livro_id) values (29, 18);
insert into livros_alugados (usuario_id, livro_id) values (59, 35);
insert into livros_alugados (usuario_id, livro_id) values (84, 47);
insert into livros_alugados (usuario_id, livro_id) values (29, 52);
insert into livros_alugados (usuario_id, livro_id) values (22, 77);
insert into livros_alugados (usuario_id, livro_id) values (52, 50);
insert into livros_alugados (usuario_id, livro_id) values (31, 92);
insert into livros_alugados (usuario_id, livro_id) values (70, 1);
insert into livros_alugados (usuario_id, livro_id) values (95, 33);
insert into livros_alugados (usuario_id, livro_id) values (48, 95);
insert into livros_alugados (usuario_id, livro_id) values (25, 45);
insert into livros_alugados (usuario_id, livro_id) values (30, 78);
insert into livros_alugados (usuario_id, livro_id) values (100, 68);
insert into livros_alugados (usuario_id, livro_id) values (89, 25);
insert into livros_alugados (usuario_id, livro_id) values (57, 18);
insert into livros_alugados (usuario_id, livro_id) values (81, 19);
insert into livros_alugados (usuario_id, livro_id) values (7, 42);
insert into livros_alugados (usuario_id, livro_id) values (100, 88);
insert into livros_alugados (usuario_id, livro_id) values (49, 25);
insert into livros_alugados (usuario_id, livro_id) values (50, 53);
insert into livros_alugados (usuario_id, livro_id) values (9, 61);
insert into livros_alugados (usuario_id, livro_id) values (84, 20);
insert into livros_alugados (usuario_id, livro_id) values (27, 53);
insert into livros_alugados (usuario_id, livro_id) values (42, 9);
insert into livros_alugados (usuario_id, livro_id) values (93, 65);
insert into livros_alugados (usuario_id, livro_id) values (81, 14);
insert into livros_alugados (usuario_id, livro_id) values (25, 2);
insert into livros_alugados (usuario_id, livro_id) values (61, 61);
insert into livros_alugados (usuario_id, livro_id) values (12, 93);
insert into livros_alugados (usuario_id, livro_id) values (87, 51);
insert into livros_alugados (usuario_id, livro_id) values (41, 35);
